concessionaria;praca_de_pedagio;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude
NOVA 364;Free Flow Pres. Médici - P05;2021;BR-364;RO;272,400;Cacoal;Principal;Crescente/Decrescente;Ativo;;-11,384193;-61,735660
NOVA 364;Free Flow Pimenta Bueno1 - P06;2021;BR-364;RO;221,300;Pimenta Bueno;Principal;Crescente/Decrescente;Ativo;;-11,527534;-61,333997
NOVA 364;Free Flow Pimenta Bueno2 - P07;2021;BR-364;RO;122,200;Pimenta Bueno;Principal;Crescente/Decrescente;Ativo;;-12,110803;-60,746925
NOVA 381;Free Flow Caeté - P01;2022;BR-381;MG;411,850;Caeté;Principal;Crescente/Decrescente;Ativo;;-19,743897;-43,615283
NOVA 381;Free Flow João Monlevade - P02;2022;BR-381;MG;342,270;João Monlevade;Principal;Crescente/Decrescente;Ativo;;-19,853947;-43,132689
NOVA 381;Free Flow Jaguaraçú - P03;2022;BR-381;MG;280,150;Jaguaraçu;Principal;Crescente/Decrescente;Ativo;;-19,609967;-42,766233
NOVA 381;Free Flow Belo Oriente - P04;2022;BR-381;MG;227,500;Belo Oriente;Principal;Crescente/Decrescente;Ativo;;-19,348242;-42,433175
NOVA 381;Free Flow Governador Valadares - P05;2022;BR-381;MG;176,550;Governador Valadares;Principal;Crescente/Decrescente;Ativo;;-19,028744;-42,147708
PANTANAL;P1-Mundo Novo;2014;BR-163;MS;28,200;Mundo Novo;Principal;Crescente/Decrescente;Ativo;;-23,865169;-54,329788
PANTANAL;P2-Itaquirai;2014;BR-163;MS;113,000;Itaquiraí;Principal;Crescente/Decrescente;Ativo;;-23,167432;-54,198970
PANTANAL;P3-Caarapó;2014;BR-163;MS;228,200;Caarapó;Principal;Crescente/Decrescente;Ativo;;-22,476042;-54,860799
PANTANAL;P4-Rio Brilhante;2014;BR-163;MS;313,500;Rio Brilhante;Principal;Crescente/Decrescente;Ativo;;-21,865146;-54,528504
PANTANAL;P5-Campo Grande;2014;BR-163;MS;431,800;Campo Grande;Principal;Crescente/Decrescente;Ativo;;-20,882783;-54,504644
PANTANAL;P6-Jaraguari;2014;BR-163;MS;533,800;Jaraguari;Principal;Crescente/Decrescente;Ativo;;-20,040000;-54,410000
PANTANAL;P7-São Gabriel;2014;BR-163;MS;605,000;São Gabriel do Oeste;Principal;Crescente/Decrescente;Ativo;;-19,473376;-54,496991
PANTANAL;P8-Rio Verde;2014;BR-163;MS;704,300;Rio Verde de Mato Grosso;Principal;Crescente/Decrescente;Ativo;;-18,722782;-54,814951
PANTANAL;P9-Sonora;2014;BR-163;MS;819,200;Sonora;Principal;Crescente/Decrescente;Ativo;;-17,766671;-54,750815
PRVIAS;P01 SERTANEJA;2023;323;PR;2,970;Sertaneja;Principal;Crescente/Decrescente;Ativo;;-22,915601;-50,817212
PRVIAS;P03 ORTIGUEIRA;2023;BR-376;PR;316,350;Ortigueira;Principal;Crescente/Decrescente;Ativo;;-24,034399;-51,089008
PRVIAS;P04 IMBAÚ;2023;BR-376;PR;370,950;Ortigueira;Principal;Crescente/Decrescente;Ativo;;-24,382178;-50,790301
PRVIAS;P05 TIBAGI;2023;BR-376;PR;448,550;Tibagi;Principal;Crescente/Decrescente;Ativo;;-24,923695;-50,409044
PRVIAS;P06 WITMARSUM;2023;BR-376;PR;529,850;Palmeira;Principal;Crescente/Decrescente;Ativo;;-25,346974;-49,843065
RIOSP;Free Flow PPF001 Sul - PFS001 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PPF001 Sul - PFS002 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PPF001 Sul - PFS003 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PPF001 Sul - PFS004 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PPF001 Sul - PFS005 Sul;2000;BR-116;SP;206,000;Guarulhos;Principal;Crescente;Ativo;;-23,417379;-46,376470
RIOSP;Free Flow PFE001 - PFS001 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE001 - PFS002 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE001 - PFS003 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE001 - PFS004 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE001 - PFS005 Sul;2000;BR-116;SP;211,700;Guarulhos;Principal;Crescente;Ativo;;-23,435120;-46,426737
RIOSP;Free Flow PFE002 - PFS002 Sul;2000;BR-116;SP;219,000;Guarulhos;Principal;Crescente;Ativo;;-23,463679;-46,495578
RIOSP;Free Flow PFE002 - PFS003 Sul;2000;BR-116;SP;219,000;Guarulhos;Principal;Crescente;Ativo;;-23,463679;-46,495578
RIOSP;Free Flow PFE002 - PFS004 Sul;2000;BR-116;SP;219,000;Guarulhos;Principal;Crescente;Ativo;;-23,463679;-46,495578
RIOSP;Free Flow PFE002 - PFS005 Sul;2000;BR-116;SP;219,000;Guarulhos;Principal;Crescente;Ativo;;-23,463679;-46,495578
RIOSP;Free Flow PFE003 - PFS002 Sul;2000;BR-116;SP;224,400;Guarulhos;Principal;Crescente;Ativo;;-23,484416;-46,539191
RIOSP;Free Flow PFE003 - PFS003 Sul;2000;BR-116;SP;224,400;Guarulhos;Principal;Crescente;Ativo;;-23,484416;-46,539191
RIOSP;Free Flow PFE003 - PFS004 Sul;2000;BR-116;SP;224,400;Guarulhos;Principal;Crescente;Ativo;;-23,484416;-46,539191
RIOSP;Free Flow PFE003 - PFS005 Sul;2000;BR-116;SP;224,400;Guarulhos;Principal;Crescente;Ativo;;-23,484416;-46,539191
RIOSP;Free Flow PFE004 - PFS003 Sul;2000;BR-116;SP;227,000;São Paulo;Principal;Crescente;Ativo;;-23,497507;-46,560039
RIOSP;Free Flow PFE004 - PFS004 Sul;2000;BR-116;SP;227,000;São Paulo;Principal;Crescente;Ativo;;-23,497507;-46,560039
RIOSP;Free Flow PFE004 - PFS005 Sul;2000;BR-116;SP;227,000;São Paulo;Principal;Crescente;Ativo;;-23,497507;-46,560039
RIOSP;Free Flow PFE005 - BAIRRO Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PEDARD Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PEDARU Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PFS006 Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PFS007 Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PFS008 Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PFS009 Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE005 - PFS010 Norte;2000;BR-116;SP;231,300;São Paulo;Principal;Decrescente;Ativo;;-23,526095;-46,588329
RIOSP;Free Flow PFE006 - BAIRRO Norte;2000;BR-116;SP;228,850;São Paulo;Principal;Decrescente;Ativo;;-23,509260;-46,572718
RIOSP;Free Flow PFE006 - PEDARD Norte;2000;BR-116;SP;228,850;São Paulo;Principal;Decrescente;Ativo;;-23,509260;-46,572718
RIOSP;Free Flow PFE006 - PEDARU Norte;2000;BR-116;SP;228,850;São Paulo;Principal;Decrescente;Ativo;;-23,509260;-46,572718
RIOSP;Free Flow PFE006 - PFS006 Norte;2000;BR-116;SP;228,850;São Paulo;Principal;Decrescente;Ativo;;-23,509260;-46,572718
RIOSP;Free Flow PFE006 - PFS007 Norte;2000;BR-116;SP;228,850;São Paulo;Principal;Decrescente;Ativo;;-23,509260;-46,572718
RIOSP;Free Flow PFE006 - PFS008 Norte;2000;BR-116;SP;228,850;São Paulo;Principal;Decrescente;Ativo;;-23,509260;-46,572718
RIOSP;Free Flow PFE006 - PFS009 Norte;2000;BR-116;SP;228,850;São Paulo;Principal;Decrescente;Ativo;;-23,509260;-46,572718
RIOSP;Free Flow PFE006 - PFS010 Norte;2000;BR-116;SP;228,850;São Paulo;Principal;Decrescente;Ativo;;-23,509260;-46,572718
RIOSP;Free Flow PFE007 - BAIRRO Norte;2000;BR-116;SP;223,350;Guarulhos;Principal;Decrescente;Ativo;;-23,479177;-46,530417
RIOSP;Free Flow PFE007 - PEDARD Norte;2000;BR-116;SP;223,350;Guarulhos;Principal;Decrescente;Ativo;;-23,479177;-46,530417
RIOSP;Free Flow PFE007 - PEDARU Norte;2000;BR-116;SP;223,350;Guarulhos;Principal;Decrescente;Ativo;;-23,479177;-46,530417
RIOSP;Free Flow PFE007 - PFS008 Norte;2000;BR-116;SP;223,350;Guarulhos;Principal;Decrescente;Ativo;;-23,479177;-46,530417
RIOSP;Free Flow PFE007 - PFS009 Norte;2000;BR-116;SP;223,350;Guarulhos;Principal;Decrescente;Ativo;;-23,479177;-46,530417
RIOSP;Free Flow PFE007 - PFS010 Norte;2000;BR-116;SP;223,350;Guarulhos;Principal;Decrescente;Ativo;;-23,479177;-46,530417
RIOSP;Free Flow PFE008 - BAIRRO Norte;2000;BR-116;SP;214,100;Guarulhos;Principal;Decrescente;Ativo;;-23,444910;-46,449184
RIOSP;Free Flow PFE008 - PEDARD Norte;2000;BR-116;SP;214,100;Guarulhos;Principal;Decrescente;Ativo;;-23,444910;-46,449184
RIOSP;Free Flow PFE008 - PEDARU Norte;2000;BR-116;SP;214,100;Guarulhos;Principal;Decrescente;Ativo;;-23,444910;-46,449184
RIOSP;Free Flow PFE008 - PFS010 Norte;2000;BR-116;SP;214,100;Guarulhos;Principal;Decrescente;Ativo;;-23,444910;-46,449184
RIOSP;Free Flow PFE009 - BAIRRO Norte;2000;BR-116;SP;210,200;Guarulhos;Principal;Decrescente;Ativo;;-23,429571;-46,412718
RIOSP;Free Flow PFE009 - PEDARD Norte;2000;BR-116;SP;210,200;Guarulhos;Principal;Decrescente;Ativo;;-23,429571;-46,412718
RIOSP;Free Flow PFE009 - PEDARU Norte;2000;BR-116;SP;210,200;Guarulhos;Principal;Decrescente;Ativo;;-23,429571;-46,412718
RIOSP;Free Flow PFE009 - PFS010 Norte;2000;BR-116;SP;210,200;Guarulhos;Principal;Decrescente;Ativo;;-23,429571;-46,412718
RIOSP;Free Flow Itaguaí;2000;BR-101;RJ;414,900;Itaguaí;Principal;Crescente/Decrescente;Ativo;;-22,910000;-43,890000
RIOSP;Free Flow Paraty;2000;BR-101;RJ;538,500;Paraty;Principal;Crescente/Decrescente;Ativo;;-23,050000;-44,580000
RIOSP;Free Flow Mangaratiba;2000;BR-101;RJ;447,300;Mangaratiba;Principal;Crescente/Decrescente;Ativo;;-23,006320;-44,099135
RIOSP;Guararema Sul;2000;BR-116;SP;180,700;Guararema;Principal;Crescente;Ativo;;-23,340000;-46,150000
RIOSP;Arujá Rodoanel;2000;BR-116;SP;204,800;Arujá;Principal;Decrescente;Ativo;;-23,420000;-46,370000
RIOSP;Guararema Norte;2000;BR-116;SP;182,400;Santa Isabel;Principal;Decrescente;Ativo;;-23,350000;-46,160000
RIOSP;Arujá Norte;2000;BR-116;SP;204,300;Arujá;Principal;Decrescente;Ativo;;-23,410000;-46,360000
RIOSP;Arujá Sul;2000;BR-116;SP;204,300;Arujá;Principal;Crescente;Ativo;;-23,410000;-46,360000
RIOSP;Itatiaia Norte;2000;BR-116;RJ;324,800;Itatiaia;Principal;Decrescente;Ativo;;-22,490000;-44,570000
RIOSP;Itatiaia Sul;2000;BR-116;RJ;324,800;Itatiaia;Principal;Crescente;Ativo;;-22,490000;-44,570000
RIOSP;Jacareí Norte;2000;BR-116;SP;165,100;Jacareí;Principal;Decrescente;Ativo;;-23,300000;-46,010000
RIOSP;Jacareí Sul;2000;BR-116;SP;165,100;Jacareí;Principal;Crescente;Ativo;;-23,300000;-46,010000
RIOSP;Moreira César Norte;2000;BR-116;SP;87,000;Pindamonhangaba;Principal;Decrescente;Ativo;;-22,930000;-45,360000
RIOSP;Moreira César Sul;2000;BR-116;SP;87,000;Pindamonhangaba;Principal;Crescente;Ativo;;-22,930000;-45,360000
RIOSP;Viúva Graça Norte;2000;BR-116;RJ;207,100;Seropédica;Principal;Decrescente;Ativo;;-22,716155;-43,716697
RIOSP;Viuvinha Norte;2000;BR-116;RJ;208,600;Seropédica;Principal;Decrescente;Ativo;;-22,715133;-43,730239
RODOVIA DO AÇO;BARRA DA PIRAI;2016;BR-393;RJ;265,200;Barra do Piraí;Principal;Crescente/Decrescente;Ativo;;-22,485435;-43,919084
RODOVIA DO AÇO;PARAÍBA DO SUL;2016;BR-393;RJ;195,200;Paraíba do Sul;Principal;Crescente/Decrescente;Ativo;;-22,208911;-43,382139
RODOVIA DO AÇO;SAPUCAIA;2016;BR-393;RJ;125,700;Sapucaia;Principal;Crescente/Decrescente;Ativo;;-21,962326;-42,861675
TRANSBRASILIANA;P 01;2015;BR-153;SP;35,800;Onda Verde;Principal;Crescente/Decrescente;Ativo;;-20,588611;-49,318055
TRANSBRASILIANA;P 02;2015;BR-153;SP;98,900;José Bonifácio;Principal;Crescente/Decrescente;Ativo;;-20,997500;-49,628333
TRANSBRASILIANA;P 03;2015;BR-153;SP;183,800;Lins;Principal;Crescente/Decrescente;Ativo;;-21,710555;-49,808611
TRANSBRASILIANA;P 04;2015;BR-153;SP;268,100;Vera Cruz;Principal;Crescente/Decrescente;Ativo;;-22,336311;-49,898833
VIA ARAUCÁRIA;P01 São Luiz do Purunã;2019;BR-277;PR;140,000;Balsa Nova;Principal;Crescente/Decrescente;Ativo;;-25,470000;-49,660000
VIA ARAUCÁRIA;P02 Porto Amazonas;2019;BR-277;PR;165,700;Porto Amazonas;Principal;Crescente/Decrescente;Ativo;;-25,470000;-49,900000
VIA ARAUCÁRIA;P03 Irati;2019;BR-277;PR;256,100;Irati;Principal;Crescente/Decrescente;Ativo;;-25,440000;-50,720000
VIA ARAUCÁRIA;P04 Imbituva;2019;BR-373;PR;216,000;Imbituva;Principal;Crescente/Decrescente;Ativo;;-25,160000;-50,540000
VIA ARAUCÁRIA;P05 Lapa;2019;BR-476;PR;191,420;Lapa;Principal;Crescente/Decrescente;Ativo;;-25,725664;-49,699992
VIA BRASIL;P3 - Trairão;2021;BR-163;PA;636,015;Trairão;Principal;Crescente/Decrescente;Ativo;;-4,620594;-55,951381
VIA BRASIL;P1 - Claúdia;2021;BR-163;MT;897,000;Cláudia;Principal;Crescente/Decrescente;Ativo;;-11,339218;-55,331222
VIA BRASIL;P2 - Guarantã do Norte;2021;BR-163;MT;1089,450;Terra Nova do Norte;Principal;Crescente/Decrescente;Ativo;;-9,756473;-54,894430
VIA COSTEIRA;P1-Laguna;2020;BR-101;SC;298,660;Laguna;Principal;Crescente/Decrescente;Ativo;;-28,350722;-48,739429
VIA COSTEIRA;P2-Tubarão;2020;BR-101;SC;344,700;Tubarão;Principal;Crescente/Decrescente;Ativo;;-28,554278;-49,054214
VIA COSTEIRA;P3-Araranguá;2020;BR-101;SC;404,550;Maracajá;Principal;Crescente/Decrescente;Ativo;;-28,897740;-49,473136
VIA COSTEIRA;P4-São João do Sul;2020;BR-101;SC;457,530;São João do Sul;Principal;Crescente/Decrescente;Ativo;;-29,243667;-49,754475
VIA CRISTAIS;P1 - Paracatu;2010;BR-40;MG;17,650;Paracatu;Principal;Crescente/Decrescente;Ativo;;-17,098310;-47,026240
VIA CRISTAIS;P2 - Lagoa Grande;2010;BR-40;MG;91,295;Lagoa Grande;Principal;Crescente/Decrescente;Ativo;;-17,505980;-46,564650
VIA CRISTAIS;P3 - João Pinheiro;2010;BR-40;MG;172,985;João Pinheiro;Principal;Crescente/Decrescente;Ativo;;-17,945770;-46,034250
VIA CRISTAIS;P4 - São Gonçalo do Abaeté;2010;BR-40;MG;254,100;São Gonçalo do Abaeté;Principal;Crescente/Decrescente;Ativo;;-18,132650;-45,408170
VIA CRISTAIS;P5 - Felixlândia;2010;BR-40;MG;328,705;Felixlândia;Principal;Crescente/Decrescente;Ativo;;-18,565400;-45,021160
VIA CRISTAIS;P6 - Curvelo;2010;BR-40;MG;405,353;Curvelo;Principal;Crescente/Decrescente;Ativo;;-19,079300;-44,654950
VIA CRISTAIS;P7 - Capim Branco;2010;BR-40;MG;487,341;Capim Branco;Principal;Crescente/Decrescente;Ativo;;-19,601210;-44,221960
VIA MINEIRA;P1 - Itabirito;2012;BR-40;MG;577,200;Itabirito;Principal;Crescente/Decrescente;Ativo;;-20,272880;-43,951120
VIA MINEIRA;P2 - Lafaiete;2012;BR-40;MG;642,850;Conselheiro Lafaiete;Principal;Crescente/Decrescente;Ativo;;-20,767020;-43,806680
VIA MINEIRA;P3 - Barbacena;2012;BR-40;MG;714,100;Barbacena;Principal;Crescente/Decrescente;Ativo;;-21,262710;-43,662240
VIA SUL;P1-Três Cachoeiras;2019;BR-101;RS;35,200;Três Cachoeiras;Principal;Crescente/Decrescente;Ativo;;-29,520461;-49,996581
VIA SUL;P4-Montenegro;2019;BR-386;RS;426,000;Montenegro;Principal;Crescente/Decrescente;Ativo;;-29,819760;-51,360405
VIA SUL;P5-Paverama;2019;BR-386;RS;375,800;Paverama;Principal;Crescente/Decrescente;Ativo;;-29,626833;-51,775773
VIA SUL;P6-Fontoura Xavier;2019;BR-386;RS;262,700;Fontoura Xavier;Principal;Crescente/Decrescente;Ativo;;-28,905316;-52,396797
VIA SUL;P7-Victor Graeff;2019;BR-386;RS;204,400;Victor Graeff;Principal;Crescente/Decrescente;Ativo;;-28,502039;-52,644709
VIA SUL;P2-Santo Antônio da Patrulha;2017;BR-290;RS;19,400;Santo Antônio da Patrulha;Principal;Crescente/Decrescente;Ativo;;-29,885897;-50,448964
VIA SUL;P3-Gravatai;2019;BR-290;RS;60,000;Gravataí;Principal;Crescente/Decrescente;Ativo;;-29,925023;-50,859104
WAY 262;Praça 02 - Nova Serrana - Free Flow;2023;BR-262;MG;452,950;Nova Serrana;Principal;Crescente/Decrescente;Ativo;;-19,812626;-45,103461
WAY 262;Praça 05 - Ibiá - Free Flow;2023;BR-262;MG;665,100;Ibiá;Principal;Crescente/Decrescente;Ativo;;-19,550270;-46,850368
WAY 262;Praça 01 - Florestal;2023;BR-262;MG;384,780;Florestal;Principal;Crescente/Decrescente;Ativo;;-19,909936;-44,506876
WAY 262;Praça 03 - Luz;2023;BR-262;MG;505,400;Luz;Principal;Crescente/Decrescente;Ativo;;-19,788222;-45,584607
WAY 262;Praça 04 - Campos Altos;2023;BR-262;MG;591,800;Campos Altos;Principal;Crescente/Decrescente;Ativo;;-19,647218;-46,240041
WAY 262;Praça 06 - Perdizes;2023;BR-262;MG;721,630;Perdizes;Principal;Crescente/Decrescente;Ativo;;-19,617598;-47,346530
